rank,University_Name,Strat_Year
1,The University of Newcastle,2021
2,Fashion Institute of Technology,2018
3,Athabasca University,2018
4,Auburn University,2019
5,University College Dublin,2020
6,University of Ottawa,2021
7,University of Wolverhampton,2015
8,Humber College,2015
9,University of South Australia,2015
10,La Trobe University,2015
11,University of Nottingham,2021
12,Aberystwyth University,2021
13,University of Edinburgh,2017
14,Ulster University,2020
15,University of Auckland,2018
16,University of Georgia,2020
17,University of Cincinnati,2017
18,University of Oswego,2015
19,Boston College,2015
20,St Cloud University,2018
21,University of Mary Washington,2015
22,University Nebraska Omaha,2017
23,Australia National University,2021
24,Seneca College,2018
25,York University,2019
26,University of Leicester,2016
27,Wilfrid Laurier University,2021
28,McGill University,2020
29,West College Scotland,2021
30,Dudley College,2021
